City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Hermanus,-34.42,19.23,53.01,91,0,1.01,ZA,2020-07-22 21:51:09
Ushuaia,-54.8,-68.3,35.6,64,95,4.7,AR,2020-07-22 21:51:10
Caceres,39.52,-6.37,84.0,44,2,4.65,ES,2020-07-22 21:51:12
Saint George,37.1,-113.58,98.6,17,20,14.99,US,2020-07-22 21:47:15
Albany,42.6,-73.97,82.99,70,72,1.99,US,2020-07-22 21:51:14
Hithadhoo,-0.6,73.08,83.46,70,59,5.37,MV,2020-07-22 21:49:43
Beringovskiy,63.05,179.32,49.24,78,0,9.08,RU,2020-07-22 21:49:18
Richards Bay,-28.78,32.04,60.17,84,1,6.42,ZA,2020-07-22 21:56:39
Maragogi,-9.01,-35.22,73.9,79,14,9.75,BR,2020-07-22 21:56:40
Ponta do Sol,32.67,-17.1,69.01,72,2,2.59,PT,2020-07-22 21:56:41
Castro,-24.79,-50.01,60.03,74,97,1.99,BR,2020-07-22 21:56:42
Ribeira Grande,38.52,-28.7,70.54,70,28,2.8,PT,2020-07-22 21:56:44
Mossamedes,-15.2,12.15,66.27,68,0,3.71,AO,2020-07-22 21:56:45
Jamestown,42.1,-79.24,79.0,73,20,12.75,US,2020-07-22 21:56:43
Busselton,-33.65,115.33,57.0,52,37,20.89,AU,2020-07-22 21:56:40
Mahébourg,-20.41,57.7,69.8,56,75,11.41,MU,2020-07-22 21:56:48
Mount Gambier,-37.83,140.77,42.8,100,90,2.24,AU,2020-07-22 21:56:49
La Rioja,42.25,-2.5,77.0,65,21,6.93,ES,2020-07-22 21:56:50
Gallup,35.53,-108.74,73.4,46,75,3.36,US,2020-07-22 21:56:52
Bredasdorp,-34.53,20.04,55.4,100,0,1.36,ZA,2020-07-22 21:56:39
Najrān,17.49,44.13,91.4,14,75,4.7,SA,2020-07-22 21:56:54
Ternate,0.8,127.4,80.08,78,1,6.93,ID,2020-07-22 21:56:55
Usinsk,65.99,57.53,60.24,69,0,7.0,RU,2020-07-22 21:56:56
Cape Town,-33.93,18.42,55.0,93,0,1.12,ZA,2020-07-22 21:56:57
Kambove,-10.88,26.6,55.78,52,89,4.72,CD,2020-07-22 21:56:59
Tura,25.52,90.22,73.8,98,100,4.88,IN,2020-07-22 21:57:00
Conselheiro Pena,-19.17,-41.47,70.88,58,0,2.08,BR,2020-07-22 21:57:02
Spas,48.89,24.06,54.25,85,18,2.26,UA,2020-07-22 21:57:03
Chirongui,-12.93,45.15,77.0,61,20,17.22,YT,2020-07-22 21:57:04
Tasiilaq,65.61,-37.64,42.8,87,35,5.82,GL,2020-07-22 21:56:49
Mataura,-46.19,168.86,39.0,83,95,3.0,NZ,2020-07-22 21:57:07
Qaanaaq,77.48,-69.36,47.84,53,0,1.12,GL,2020-07-22 21:55:53
Husavik,66.04,-17.34,50.0,76,75,9.17,IS,2020-07-22 21:57:10
Lompoc,34.64,-120.46,69.8,60,3,12.75,US,2020-07-22 21:54:50
Pevek,69.7,170.31,52.34,56,100,11.39,RU,2020-07-22 21:57:13
Bethel,41.37,-73.41,84.0,78,75,6.73,US,2020-07-22 21:57:14
Nuuk,64.18,-51.72,59.0,67,40,10.29,GL,2020-07-22 21:57:15
Rikitea,-23.12,-134.97,66.97,59,100,13.91,PF,2020-07-22 21:57:16
Cidreira,-30.18,-50.21,66.69,70,92,8.3,BR,2020-07-22 21:57:18
Yellowknife,62.46,-114.35,66.0,93,90,10.29,CA,2020-07-22 21:56:04
Alta Floresta,-9.88,-56.09,82.15,33,0,3.4,BR,2020-07-22 21:57:20
Maroantsetra,-15.43,49.73,67.12,78,81,9.89,MG,2020-07-22 21:57:21
Chui,-33.7,-53.46,64.51,96,100,7.56,UY,2020-07-22 21:57:22
Saskylakh,71.92,114.08,45.3,94,100,11.45,RU,2020-07-22 21:57:23
Shache,38.42,77.24,73.13,21,24,12.01,CN,2020-07-22 21:57:24
Verkhniy Avzyan,53.53,57.54,58.08,95,100,4.41,RU,2020-07-22 21:57:27
Bluff,-46.6,168.33,39.0,83,97,3.0,NZ,2020-07-22 21:57:28
Port Alfred,-33.59,26.89,63.19,69,0,9.44,ZA,2020-07-22 21:57:29
Hede,33.77,120.25,74.86,93,99,15.93,CN,2020-07-22 21:57:30
Port Lincoln,-34.73,135.87,48.31,84,1,9.42,AU,2020-07-22 21:57:31
Alofi,-19.06,-169.92,75.2,94,75,8.05,NU,2020-07-22 21:57:32
Mut,36.64,33.44,74.64,41,0,9.01,TR,2020-07-22 21:57:33
Opuwo,-18.06,13.84,57.52,35,0,8.75,,2020-07-22 21:57:35
Arraial do Cabo,-22.97,-42.03,71.6,94,0,6.93,BR,2020-07-22 21:57:36
Sambava,-14.27,50.17,66.69,76,87,15.39,MG,2020-07-22 21:57:37
Puerto Ayora,-0.74,-90.35,78.8,61,40,20.8,EC,2020-07-22 21:56:32
Vaini,-21.2,-175.2,73.4,73,40,5.82,TO,2020-07-22 21:56:34
Hambantota,6.12,81.12,77.0,100,40,3.36,LK,2020-07-22 21:57:40
Indi,17.17,75.97,77.79,84,100,9.44,IN,2020-07-22 21:57:41
Morondava,-20.28,44.28,68.7,59,0,12.62,MG,2020-07-22 21:57:42
Pangai,-19.8,-174.35,77.0,57,20,9.17,TO,2020-07-22 21:57:43
Aklavik,68.22,-135.01,50.0,61,75,3.36,CA,2020-07-22 21:57:45
Sitka,57.05,-135.33,60.8,77,90,4.7,US,2020-07-22 21:57:46
Aginskoye,51.1,114.53,65.61,65,100,7.74,RU,2020-07-22 21:57:47
New Norfolk,-42.78,147.06,41.0,88,73,1.01,AU,2020-07-22 21:57:48
Mar del Plata,-38.0,-57.56,50.0,100,90,26.4,AR,2020-07-22 21:57:49
Hong Kong,22.29,114.16,84.0,79,57,5.61,HK,2020-07-22 21:57:50
Half Moon Bay,37.46,-122.43,78.01,68,5,10.29,US,2020-07-22 21:57:30
Chokurdakh,70.63,147.92,83.61,41,69,4.7,RU,2020-07-22 21:57:52
Saint-François,46.42,3.91,68.0,77,2,4.03,FR,2020-07-22 21:57:53
Haines Junction,60.75,-137.51,63.86,50,96,6.13,CA,2020-07-22 21:57:57
Hilo,19.73,-155.09,86.0,51,75,10.29,US,2020-07-22 21:56:45
Clyde River,70.47,-68.59,46.4,81,90,2.24,CA,2020-07-22 21:57:49
Iqaluit,63.75,-68.51,46.4,93,90,2.24,CA,2020-07-22 21:58:01
Hobart,-42.88,147.33,43.0,75,75,8.05,AU,2020-07-22 21:57:11
Punta Arenas,-53.15,-70.92,26.6,100,20,6.93,CL,2020-07-22 21:56:32
Paita,-5.09,-81.11,65.66,76,12,17.9,PE,2020-07-22 21:56:39
Schertz,29.55,-98.27,99.0,37,20,5.82,US,2020-07-22 21:58:06
Sola,-13.88,167.55,80.6,65,75,10.29,VU,2020-07-22 21:58:07
Nanortalik,60.14,-45.24,52.0,65,100,13.73,GL,2020-07-22 21:58:08
Ponnampet,12.15,75.93,68.0,98,100,1.7,IN,2020-07-22 21:58:10
College,64.86,-147.8,60.8,67,75,8.05,US,2020-07-22 21:56:31
Kayerkan,69.35,87.76,50.0,87,1,22.37,RU,2020-07-22 21:58:12
Kédougou,12.56,-12.17,82.4,83,80,4.25,SN,2020-07-22 21:58:15
Kapaa,22.08,-159.32,84.99,100,90,6.93,US,2020-07-22 21:56:41
Vestmannaeyjar,63.44,-20.27,53.6,87,40,5.82,IS,2020-07-22 21:58:18
